easting,northing,elevation,slope
392020.0656,4049830.059,2275,39.290569
392029.4184,4049830.059,2271,34.48769
392038.7712,4049830.059,2267,32.059017
392048.1241,4049830.059,2264,33.48592
392057.4769,4049830.059,2259,37.806427
392066.8297,4049830.059,2253,40.445251
392076.1825,4049830.059,2247,41.776199
392085.5353,4049830.059,2240,44.761612
392094.8881,4049830.059,2232,48.046532
392104.2409,4049830.059,2223,46.068283
392113.5937,4049830.059,2216,41.428173
392122.9465,4049830.059,2209,39.580055
392132.2993,4049830.059,2203,38.292923
392141.6521,4049830.059,2197,39.071766
392151.0049,4049830.059,2190,40.604355
392160.3578,4049830.059,2183,39.54324
392169.7106,4049830.059,2177,39.109711
392179.0634,4049830.059,2170,40.347595
392188.4162,4049830.059,2162,39.66074
392197.769,4049830.059,2155,36.960899
392207.1218,4049830.059,2149,36.960899
392216.4746,4049830.059,2142,38.803547
392225.8274,4049830.059,2135,40.816212
392235.1802,4049830.059,2127,41.065292
392244.533,4049830.059,2120,38.803547
392253.8858,4049830.059,2113,37.929462
392263.2386,4049830.059,2106,36.39526
392272.5915,4049830.059,2100,35.743534
392281.9443,4049830.059,2094,36.645187
392291.2971,4049830.059,2087,30.689173
392300.6499,4049830.059,2082,17.899372
392310.0027,4049830.059,2081,17.223341
392319.3555,4049830.059,2081,26.66626
392328.7083,4049830.059,2085,35.583496
392338.0611,4049830.059,2089,40.100704
392347.4139,4049830.059,2095,41.776199
392356.7667,4049830.059,2100,39.469349
392366.1195,4049830.059,2104,35.583496
392375.4723,4049830.059,2107,32.692223
392384.8252,4049830.059,2110,30.866745
392394.178,4049830.059,2112,29.527098
392403.5308,4049830.059,2113,28.143787
392412.8836,4049830.059,2114,27.210445
392422.2364,4049830.059,2115,27.599382
391935.8904,4049820.706,2315,19.854733
391945.2432,4049820.706,2311,22.196188
391954.596,4049820.706,2308,29.568087
391963.9488,4049820.706,2304,38.47551
391973.3016,4049820.706,2298,44.525562
391982.6544,4049820.706,2291,45.663868
391992.0072,4049820.706,2285,44.588886
392001.36,4049820.706,2279,42.857601
392010.7128,4049820.706,2274,39.864246
392020.0656,4049820.706,2269,36.715885
392029.4184,4049820.706,2266,34.877712
392038.7712,4049820.706,2263,35.583496
392048.1241,4049820.706,2259,39.290569
392057.4769,4049820.706,2253,42.827938
392066.8297,4049820.706,2247,42.827938
392076.1825,4049820.706,2241,43.953819
392085.5353,4049820.706,2234,47.28986
392094.8881,4049820.706,2225,47.897694
392104.2409,4049820.706,2217,44.145103
392113.5937,4049820.706,2211,40.556107
392122.9465,4049820.706,2205,39.372765
392132.2993,4049820.706,2199,38.726063
392141.6521,4049820.706,2193,39.580055
392151.0049,4049820.706,2186,39.215466
392160.3578,4049820.706,2180,38.100121
392169.7106,4049820.706,2173,39.109711
392179.0634,4049820.706,2166,38.694962
392188.4162,4049820.706,2160,37.30452
392197.769,4049820.706,2153,36.332169
392207.1218,4049820.706,2147,37.872166
392216.4746,4049820.706,2139,39.929092
392225.8274,4049820.706,2132,41.065292
392235.1802,4049820.706,2124,40.816212
392244.533,4049820.706,2117,39.155121
392253.8858,4049820.706,2110,37.674129
392263.2386,4049820.706,2104,35.46957
392272.5915,4049820.706,2098,35.083916
392281.9443,4049820.706,2091,31.363829
392291.2971,4049820.706,2086,18.816092
392300.6499,4049820.706,2085,18.816092
392310.0027,4049820.706,2085,28.598597
392319.3555,4049820.706,2087,36.323132
392328.7083,4049820.706,2092,39.704575
392338.0611,4049820.706,2096,40.100704
392347.4139,4049820.706,2101,39.864246
392356.7667,4049820.706,2106,36.022137
392366.1195,4049820.706,2109,32.692223
392375.4723,4049820.706,2112,31.941227
392384.8252,4049820.706,2115,30.866745
392394.178,4049820.706,2117,29.527098
392403.5308,4049820.706,2119,28.598597
392412.8836,4049820.706,2119,27.721926
392422.2364,4049820.706,2120,26.387238
391926.5375,4049811.353,2320,23.886768
391935.8904,4049811.353,2314,29.069366
391945.2432,4049811.353,2309,30.380253
391954.596,4049811.353,2304,36.022137
391963.9488,4049811.353,2298,42.27129
391973.3016,4049811.353,2291,44.525562
391982.6544,4049811.353,2284,42.804165
391992.0072,4049811.353,2279,41.622509
392001.36,4049811.353,2273,41.031872
392010.7128,4049811.353,2268,38.640385
392020.0656,4049811.353,2264,36.830109
392029.4184,4049811.353,2260,37.107841
392038.7712,4049811.353,2256,39.215466
